epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,5987.9,0.70361,0.42429,1.03925,0.72294,0.73723,0.74434,0.39981,0.91714,0.54881,1.13578,0.000134125,0.000134125,0.000134125
121,6154.07,0.69104,0.41481,1.02454,0.76406,0.75007,0.7737,0.42188,0.9332,0.54702,1.15806,0.00013,0.00013,0.00013
122,6326.52,0.69746,0.41482,1.04808,0.81495,0.69121,0.75589,0.40714,0.91526,0.5485,1.14321,0.000125875,0.000125875,0.000125875
123,6490.45,0.68512,0.41544,1.03427,0.78759,0.72253,0.77378,0.42005,0.91831,0.53577,1.13652,0.00012175,0.00012175,0.00012175
124,6640.5,0.69019,0.41865,1.03874,0.7673,0.71608,0.74747,0.4169,0.9112,0.54271,1.14171,0.000117625,0.000117625,0.000117625
125,6796.05,0.68879,0.41265,1.03433,0.80081,0.76011,0.78725,0.41168,0.92394,0.54237,1.16331,0.0001135,0.0001135,0.0001135
126,6960.29,0.67772,0.41176,1.03266,0.78052,0.76866,0.77649,0.40831,0.91622,0.53552,1.15514,0.000109375,0.000109375,0.000109375
127,7129.35,0.68511,0.41406,1.03008,0.80213,0.74779,0.78271,0.42077,0.90745,0.52637,1.14924,0.00010525,0.00010525,0.00010525
128,7286.98,0.67393,0.40571,1.02567,0.79792,0.72303,0.76388,0.40768,0.91812,0.54376,1.15117,0.000101125,0.000101125,0.000101125
129,7465.57,0.69023,0.41673,1.03115,0.73809,0.71998,0.7567,0.4241,0.90907,0.55767,1.14518,9.7e-05,9.7e-05,9.7e-05
130,7632.4,0.66733,0.40608,1.01889,0.7793,0.74632,0.77055,0.41056,0.92651,0.55426,1.16049,9.2875e-05,9.2875e-05,9.2875e-05
131,7790.09,0.67579,0.40588,1.01683,0.77698,0.74422,0.75881,0.40793,0.91861,0.53314,1.14557,8.875e-05,8.875e-05,8.875e-05
132,7960.45,0.66168,0.3951,1.0166,0.77458,0.7811,0.78713,0.42437,0.91214,0.53048,1.14468,8.4625e-05,8.4625e-05,8.4625e-05
133,8134.49,0.672,0.39902,1.01968,0.77836,0.7407,0.77119,0.41159,0.92429,0.55347,1.16134,8.05e-05,8.05e-05,8.05e-05
134,8298.86,0.66813,0.40108,1.01744,0.72305,0.76848,0.75944,0.42001,0.91328,0.55082,1.13723,7.6375e-05,7.6375e-05,7.6375e-05
135,8459.18,0.65688,0.40404,1.02166,0.73164,0.74733,0.75647,0.4206,0.90791,0.5447,1.13771,7.225e-05,7.225e-05,7.225e-05
136,8621.07,0.66597,0.39643,1.01292,0.75978,0.76158,0.78014,0.42299,0.91333,0.53073,1.14402,6.8125e-05,6.8125e-05,6.8125e-05
137,8783.63,0.64896,0.38693,1.01143,0.78714,0.7687,0.78579,0.41624,0.92006,0.53123,1.15856,6.4e-05,6.4e-05,6.4e-05
138,8965.89,0.6527,0.39336,1.0118,0.75083,0.77372,0.76966,0.42162,0.90187,0.53867,1.1436,5.9875e-05,5.9875e-05,5.9875e-05
139,9126.58,0.64766,0.39248,1.01478,0.79717,0.73946,0.77733,0.4157,0.92254,0.53751,1.15788,5.575e-05,5.575e-05,5.575e-05
140,9300.64,0.63762,0.3845,1.01039,0.79417,0.76006,0.77787,0.42215,0.90787,0.53858,1.14341,5.1625e-05,5.1625e-05,5.1625e-05
141,9481.64,0.76844,0.42518,1.0829,0.77792,0.76565,0.78172,0.42749,0.90361,0.52301,1.14218,4.75e-05,4.75e-05,4.75e-05
142,9658.51,0.73869,0.41237,1.05498,0.73944,0.7858,0.80121,0.43646,0.89352,0.52237,1.13612,4.3375e-05,4.3375e-05,4.3375e-05
143,9828.68,0.74387,0.40837,1.05661,0.7797,0.75745,0.7937,0.42969,0.89936,0.50807,1.14213,3.925e-05,3.925e-05,3.925e-05
144,10037.9,0.73776,0.40251,1.05397,0.8066,0.75265,0.79246,0.42695,0.90369,0.51573,1.14708,3.5125e-05,3.5125e-05,3.5125e-05
145,10260.8,0.72975,0.39843,1.04913,0.81248,0.73284,0.78965,0.42317,0.90602,0.51419,1.14714,3.1e-05,3.1e-05,3.1e-05
146,10469.9,0.72986,0.39925,1.04975,0.80714,0.74885,0.79633,0.42624,0.90465,0.51079,1.14058,2.6875e-05,2.6875e-05,2.6875e-05
147,10684.3,0.71051,0.39355,1.03555,0.76862,0.78095,0.80287,0.42867,0.90091,0.52072,1.1431,2.275e-05,2.275e-05,2.275e-05
148,10891.4,0.71024,0.39278,1.03363,0.76809,0.77121,0.78808,0.42282,0.90359,0.52537,1.14342,1.8625e-05,1.8625e-05,1.8625e-05
149,11097.7,0.71082,0.39356,1.04145,0.7967,0.72592,0.77361,0.42057,0.9019,0.52648,1.1429,1.45e-05,1.45e-05,1.45e-05
150,11293.9,0.71042,0.39245,1.044,0.80607,0.75057,0.78176,0.42001,0.90028,0.5238,1.14311,1.0375e-05,1.0375e-05,1.0375e-05
